Author,Year,Journal,Title,Abstract
Abdulla et al.,2000,Environmental Geology,"development of groundwater modeling for the azraq basin, jordan","development of groundwater modeling for the azraq basin, jordan"
Alweshah et al.,1992,Water International,jordans water resources   technical perspective,jordans water resources   technical perspective
Balek et al.,1987,Journal of the Geological Society of India,is safe yield deduced from groundwater modeling safe enough,is safe yield deduced from groundwater modeling safe enough
Beckers et al.,2000,Journal of Hydrology,simulating groundwater flow and runoff for the oro moraine aquifer system. part i. model formulation and conceptual analysis,"a steady state groundwater model that incorporates the vadose zone in an approximate fashion is developed to account for situations where recharge may be significantly affected by heterogeneity above the watertable. the model is intended for basin scale applications where the exact representation of the unsaturated zone is no longer feasible. the pseudo unsaturated model is compared to a variably saturated model making use of an idealized cross section approximating the complex oro moraine aquifer system. differences in predicted flow regimes between the two models arise from the coarser mesh used in the pseudo unsaturated simulations, but are minimal below the watertable. the pseudo unsaturated model yields an accurate overall system water mass balance although a loss in spatial resolution of predicted fluxes may occur. such accuracy losses are offset by drastically lower computer memory requirements. the flow simulations further show that near surface heterogeneity has a profound impact on the sustainable capacity of a groundwater system and the location of sensitive recharge areas. the pseudo unsaturated model is then coupled to a high conductivity layer atop the model domain to simulate rainfall runoff. an important advantage of this model formulation is that precipitation and evapotranspiration measurements can be directly used as model input, while groundwater infiltration is part of the flow solution. runoff and baseflow contributions to long term streamflow generation are also calculated and can be compared to data from gauging stations during model calibration. (c) 2000 elsevier science b.v. all rights reserved."
Blackwell et al.,2000,Journal of Hydrology,"management of water repellency in australia, and risks associated with preferential flow, pesticide concentration and leaching","the three most westerly states of southern australia have the largest area of water repellent soils, which limit agricultural production, of any country in the world. simplified principles of the problems caused by repellency and the principles of soil management solutions are considered and related to experimental evidence. the phenomena of diverted soil water flow and isolated dry soil can explain most of the problems caused by repellency. plant adaptation, soil or hydrophobic removal, reduced soil drying, reduced surface tension, water harvesting, avoidance, masking and, perhaps, water movement along dead root systems are the main soil management principles. dead roots may play a role in zero till cropping systems, allowing more uniform wetting of dry hydrophobic soil at the base of a dead plant and along the dendritic pattern of the dead root system. application of these management principles, especially water harvesting, avoidance and masking (by the use of deep trenching, furrow sowing methods or claying), have made a considerable improvement to sustainability and productivity of farming systems on the water repellent soils of australia. evidence is selected to assess risks of preferential flow, pesticide concentration and leaching for different agricultural soil management methods. all management methods can have some risks, but claying seems to have the least risk and furrowing the highest risk of encouraging preferential flow, pesticide concentration and leaching. it is suggested we have insufficient information and understanding to quantify the risks of groundwater contamination for different environments, farming systems and soil management methods to control repellency. there is an urgent need to develop quantified guidelines to minimise any possible groundwater contamination hazard for the extensive areas using farming systems with furrows and increasing amounts of pesticide and fertiliser. (c) 2000 elsevier science b.v. all rights reserved."
Briggs et al.,1993,Applied Geography,sustainable development and resource management in marginal environments   natural resources and their use in the wadi allaqi region of egypt,"the aim of the paper is to assess the nature and suitability of the natural resource base of a fragile environment for sustainable economic development. the situation is further complicated by the fact that groundwater conditions in the study area, the southeastern desert of egypt, have been radically altered since the construction of the aswan high dam. results show that soil conditions in the area will support both vegetation and crops over short periods of time, although further work is needed on long term sustainability. there are three main sources of water in the area: surfacewater from lake nasser; shallow groundwater, associated with lake nasser; and ancient groundwater at depth in the nubian sandstone. it is the former two which offer the most realistic development options. vegetation resources offer opportunities for grazing, charcoal production and medicinal uses. the perceptions and attitudes of the local people of the area, as well as their livelihood patterns, make up a major element of the proposed development plan of the area."
Brown et al.,1999,Hydrogeology Journal,"sustainable groundwater resources, heretaunga plains, hawke's bay, new zealand","sustainable groundwater resources, heretaunga plains, hawke's bay, new zealand"
Calder et al.,1997,Hydrology and Earth System Sciences,eucalyptus water use greater than rainfall input a possible explanation from southern india,"hydrological and silvicultural studies carried out in southern india on the effects of plantations of eucalyptus and other fast growing exotic tree species have determined the impacts of these plantations on water resources, erosion, soil nutrient status and growth rates at sites of differing rainfall and soil depth in karnataka. whilst providing new information on these issues, the studies also raised two important questions: what was the explanation for the anomalous result that the water use of 3400 mm from eucalyptus plantations at hosakote over a three year period exceeded the rainfall of 2100 mm over the same period and why were growth rates of woodlots on most farmer's fields higher than those of plantations on land owned by the karnataka forest department? the records of the soil moisture depletion patterns under these plantations from the day of planting provide the basis for the answers to both questions: i) whilst roots are penetrating into deeper soil layers, they are able to extract from a reservoir of water additional to that available from the rainfall each year, ii) farmer's land on which short rooted agricultural crops have been grown previously is likely to have a much higher soil water status than land previously under forest or scrub vegetation. these new studies have also established that the development of the drying front under the eucalyptus camaldulensis plantations is very rapid, indicating average root extension rates in excess of 2.5 m per year, whilst those under tectona grandis and artocarpus heterophyllus advanced at approximately half the rate. these results have obvious implications for the long term sustainability of growth rates from these plantations and the recharge of groundwater. the authors believe that this study may be the first to report neutron probe soil moisture depletion observations, from the date of planting, beneath tree plantations in a dry climate. the extent to which the roots were able to penetrate raises the question of whether other studies, which have estimated water use from soil moisture observations in dry climates, may have seriously underestimated both the actual soil moisture depletion and the water use through having soil moisture measurements located to insufficient depth."
Carlsson et al.,2000,Journal of African Earth Sciences,village water supply in botswana: assessment of recommended yield for production boreholes in a semi arid environment,village water supply in botswana: assessment of recommended yield for production boreholes in a semi arid environment
Das et al.,2000,Journal of Irrigation and Drainage Engineering,optimization based simulation and design of tile drainage systems,"optimization based models for simulation of the drainage systems are formulated and solved with a finite difference approximated richard's equation as an embedded constraint. the solution methodology minimizes the sum of absolute violations off the discretized variably saturated porous media flow equations. the optimal design minimizes the sum of the pressure heads to obtain optimal drain locations and discharges for a given lateral spacing. the projected augmented lagrangian method of nonlinear programming is used to solve the optimization models. the performance of the simulation is verified using the steady state square embankment drainage problem. thereafter, the simulation and design models are solved for a hypothetical tile drainage system. the results demonstrate the capability of the models."
