Author,Year,Journal,Title,Abstract
Abbas et al.,2014,Desalination and Water Treatment,"spatio temporal analysis of groundwater regime within rawalpindi municipal jurisdiction, pakistan","the study investigates the spatial and temporal variation of groundwatertable within municipal precincts of rawalpindi metropolitan city. the research was based on current and historic withdrawals as a primary source of drinking water supply. a geodatabase of 278 tube wells with three distinct timelines of recorded subsurfacewater levels was developed. vertical sections were extracted from the interpolated surfaces and reconciled to a common x, y reference to isolate spatial and temporal trend of watertable. overexploitation of groundwater is leading to progressive depletion of the groundwater resource. the decline in groundwater level was observed to be steep in areas farthest from the potential recharge zones, a phenomenon that is also coincident with the density of the installed wells. gradual cessation of pumpage within the metropolitan area and artificial means of replenishing the groundwater aquifer are recommended."
Abd Rahman et al.,2018,Transport in Porous Media,laboratory investigation of lnapl migration in double porosity soil under fractured condition using digital image analysis,"the issue of leakage and spillage of light non aqueous phase liquid (lnapl) contribute to groundwater contamination, resulting in groundwater pollution and rendering the quality of groundwater unsafe for drinking and agriculture. therefore, the objective of this study was to investigate lnapl migration in the double porosity soil under vibration effect, which has become important for sustainability of groundwater utilization and a comprehensive understanding of the behaviour of liquid migration into the groundwater. a laboratory experiment was conducted to observe the phenomena and characteristics of soil structure, and the pattern of liquid migration in deformable double porosity by using digital image processing technique. the experiments show that the simulated results were reasonably concise with the visual observations. the gradual increase in vibration table excitation frequency yielded different vibration responses from the respective soils. this indicated that the soil surface acceleration depended significantly on the soil conditions, soil water content, soil structure, and the pattern of soil crack. faster migration occurred at the cracked soil surface condition compared to other locations on the soil surface that were not cracked. comparison between soils with 25% and 30% moisture content showed that the downward migration of lnapl is faster when the soil moisture content is higher. this occurs in soil with higher moisture content due to greater capillary pressure exerted by the liquids and the inter aggregate pores. this study proved that the digital image processing technique is capable to provide detailed migration flow information to facilitate the researchers to better understand contaminate migration patterns and to ensure sustainability of groundwater resources."
Abd Rahman et al.,2018,Geologia Croatica,vibration effect influence upon non aqueous phase liquid migration in double porosity soil,"natural disasters such as earthquakes, el nino, tsunamis and water pollution have a negative impact on human health and living environment. some of these may give rise to subsurface vibrations that can potentially increase groundwater pollution risks in double porosity systems. the more complicated situation was where underground storage tanks and petroleum pipeline damage have caused the leakage of non aqueous phase liquids (napls) which migrated into the groundwater resources. these problems need to be addressed by both professionals and researchers worldwide to ensure the sustainability of groundwater utilization. this paper aims to investigate and understand napl migration in vibrated double porosity soils. to do so it was necessary to study the phenomena and characteristic of soil structure and the pattern of napl migration to identify cost effective remediation schemes. a laboratory experiment was conducted to study the phenomena and characteristics of vibration response and napl migration in double porosity soil deformation under vibration effect using a digital image processing technique (dipt). the outcomes of the experiment show that the gradual increase of vibration table excitation frequency yielded different vibration responses from the respective soils. this indicated that soil surface acceleration depended significantly on the soil conditions, soil water content, soil structure and the pattern of soil fracturing. napl migration was faster in sample 2 with 150ml toluene than sample 1 with 70ml toluene and this could be because the greater amount of toluene in sample 2 exerted an extra entry force on top of the soil sample that had yet to migrate through the sample surface. finally, it was concluded that the dipt may provide detailed information, and can be used to understand and identify the remediation method as well as to ensure the sustainable consumption of groundwater."
Abd-Elhamid et al.,2011,Water Resources Management,a cost effective method to control seawater intrusion in coastal aquifers,"intrusion of seawater into coastal aquifers is considered one of the most important processes that degrade water quality by raising the salinity to levels exceeding acceptable drinking standards. therefore saltwater intrusion should be prevented or at least controlled to protect groundwater resources. this paper presents a cost effective method to control seawater intrusion in coastal aquifers. this methodology adr (abstraction, desalination and recharge) includes; abstraction of saline water and recharge to the aquifer after desalination. a coupled transient density dependent finite element model is developed for simulation of fluid flow and solute transport and used to simulate seawater intrusion. the simulation model has been integrated with an optimization model to examine three scenarios to control seawater intrusion including; abstraction, recharge and a combination system, adr. the main objectives of the models are to determine the optimal depths, locations and abstraction/recharge rates for the wells to minimize the total costs for construction and operation as well as salt concentrations in the aquifer. a comparison between the combined system (adr) and the individual abstraction or recharge system is made in terms of total cost and total salt concentration in the aquifer and the amount of repulsion of seawater achieved. the results show that the proposed adr system performs significantly better than using abstraction or recharge wells alone as it gives the least cost and least salt concentration in the aquifer. adr is considered an effective tool to control seawater intrusion and can be applied in areas where there is a risk of seawater intrusion."
Abiye et al.,2014,South African Journal of Geology,groundwater as a viable resource under climate change in the nile basin:a rapid hydro geological assessment,"the storage of groundwater in the nile basin has been assessed in order to inform its potential role in community development and sustainable growth in the basin, where hydropolitics is critical among upstream and downstream countries. it is a well known fact that water management activities in the basin focus on the surfacewater resources, with less or no attention to the groundwater, while the majority of urban and rural communities rely on groundwater for day to day activities. the results show that downstream countries (egypt and sudan) have considerable groundwater storage as a result of favourable geological formations (sedimentary rocks), while upstream countries (ethiopia, eritrea, kenya, uganda, tanzania, democratic republic of the congo (drc), burundi and rwanda) are underlain by crystalline basement and volcanic rocks with low groundwater productivity. the available groundwater in the shallow and deep (transboundary) aquifers requires holistic development and management by stakeholders across the borders in order to sustainably adapt to changing climate in the basin and shift the dependence pattern on the nile river for water supply."
Abliz et al.,2016,Environmental Earth Sciences,"effects of shallow groundwatertable and salinity on soil salt dynamics in the keriya oasis, northwestern china","in this paper, the spatial and temporal variability of groundwater depth and groundwater salinity associated with agricultural activities and land cover and landuse (lclu) in the keriya oasis, xinjiang uyghur autonomous region of china, was investigated. a decision tree classification was developed for lclu mapping by using landsat 8 imagery. radial basis function, pearson's correlation coefficient, moran's i statistics and geographically weighted regression were employed to identify the spatial and temporal relationship between topsoil salinity and lclu types. the results showed that groundwater depth in about 75 % of the study area was less than 3.0 m. groundwater salinity showed an increasing trend with decreasing groundwater depth. a relatively higher positive correlation (r = 0.87) was found between groundwater salinity and topsoil salinity. topsoil salinity was exacerbated by agricultural activities at the upstream of seasonal rivers, causing severe soil salinization and soil degradation in the downstream. both groundwater depth and soil salinity showed seasonal fluctuations with the shallowest groundwater level occurring in spring, while during summer and autumn, groundwater depth increased due to the extensive of agricultural water consumption and the regional evapotranspiration, which was followed by a winter recharge; non saline groundwater region was 21 % of the research area in spring, which dropped to 1.1, 1.0 and 1.2 %, respectively, during the summer, autumn and winter. the results also demonstrated that shallow groundwater depth of 2.5 m is the critical depth value for soil salinization in the keriya oasis."
Abo et al.,2015,Arabian Journal of Geosciences,"comparative estimation of the potential groundwater recharge in al zerba catchment of aleppo basin, syria","since groundwater is an integral component of natural hydrologic systems, an estimation of groundwater recharge is required to understand the changes in the temporal waterbudget and groundwater flow system. the rate of groundwater recharge varies widely in space and time particularly in arid to semiarid regions, and it is rather difficult to measure recharge directly. the aim of this study was to assess the natural groundwater recharge in al zerba catchment and the interaction between the surface and groundwater. the catchment is classified as an arid to semiarid climate with an aridity index of 0.25 to 0.3 and long term average annual precipitation ranging from 300 to 350 mm. delineation of the catchment boundary was carried out using spatial interpolation of elevation data extracted from the digital elevation model. the effects of vegetation and abstraction from pumping wells on the groundwatertable were investigated. furthermore, groundwater recharge was estimated based on waterbudget, watertable fluctuation analysis by using rainfall infiltration breakthrough, and soil waterbalance using hydrologic evaluation of landfill performance model (help3). the results show that groundwater pumping leads negative impact to long term decrease in groundwater levels, particularly in the dry season, while no significant effects of vegetation on groundwater were observed. moreover, the result showed an average annual groundwater recharge ranging from 20 to 35 mm/a (about 10 to 15 % of the precipitation period 2001 2010), concentrated in the north and southwestern regions (outcrops of permeable/coarse grained limestone and a major fault zone)."
Abo et al.,2015,Arabian Journal of Geosciences,"investigation of the potential surface groundwater relationship using automated base flow separation techniques and recession curve analysis in al zerba region of aleppo, syria","the management of water resources requires an adequate understanding of the relationship between the various components of the hydrological cycle. the accelerated urbanization and agricultural development impose the concern about the sustainability of water resources, particularly in arid and semi arid regions. in such environments, water scarcity and drought often lead to intensive groundwater abstraction which can adversely affect the hydrological system. severe overexploitation of groundwater has been observed on the aleppo basin of the al qweek river. the al qweek valley constitutes the central part of the study area (southwestern parts of the aleppo basin). the region is characterized by a semi arid climate with an average annual precipitation of 325 mm. the intensive exploitation of the upper aquifer in the catchment is responsible for a continuous decline of the piezometric levels with an average of 1.8 m/year. the objective of this study was to investigate the relationship between the upper aquifer and the al qweek river within the catchment boundary using streamflow and hydrograph separation techniques by means of daily discharge data for both the al qweek and al qwaak rivers. hydrooffice was used for the base flow separation, flow duration curves (fdc), and recession curve displacement analysis. furthermore, groundwater recharge was estimated by means of recess and rora. this is the first study using the hydrograph separation method in this region to our knowledge. the results indicate a proportional relationship between the surface and groundwater with an average discharge fluctuation that ranged from 0.30 to 0.20 m for the al qweek and al qwaak rivers, respectively. the results also revealed a dominant base flow in the catchment that ranged from 86.3 to 88.2 % of the total flow with a computed base flow index that varied from 0.85 to 0.90 in all gauge stations, indicating a stable flow regime in the region. furthermore, the high base flow is resulting in high permeability conditions of the upper aquifer and low direct surface runoff. the visual interpretation of the fdc suggests sustained base flow from groundwater storage. the low flow index indicates an average contribution of groundwater storage of 45 to 58 %. the result of recession curve analysis shows a recession constant from 0.8 to 0.9 indicating a dominant interflow and low overland runoff. furthermore, the results also show that estimation of groundwater recharge using rora is inappropriate for the region of interest."
Abolpour et al.,2018,Agricultural Water Management,"realistic evaluation of crop water productivity for sustainable farming of wheat in kamin region, fars province, iran","currently, the economic wheat production faces severe challenges due to an increasing number of droughts. in an effort to enhance yields, most arid and semi arid areas increase the water volume used for irrigation and cultivation of wheat, resulting in an intensified pressure on water resource systems. therefore, it has become increasingly important to determine the required water volume per unit area in relation to expected wheat performance. however, such an estimation of relevant performance factors has been difficult due to unpredictable water supply capacities and the lack of reliable estimates for the demand of water. the potential crop water productivity (pcwp) defined in this study was comparing with its actual value has which obtained from field measurements based on a new approach of risk quantification. using this comparison of water use, the management coefficient was estimated, and the production reliability of wheat was calculated. based on these factors, farms that had competently adapted their management in line with climate change and water availability were selected. the results reveal that only 26 of a total of 666 wheat farms which evaluated for this case study have had reliable crop water productivity and could thus be used as models for other farms. the results showed 100% increasing in cwp with a 27% reducing in hydro module on these farms, in which case more than 34% will be reduced the groundwater withdrawal. therefore, the sustainability of groundwater resources would be better, whereas the benefit cost ratio of the whole region and the superior farms has no significant difference. the amount of water that these farms use and the resulting yield can be a suitable reference to determine the expected yield and required water volume per unit area. (c) 2017 elsevier b.v. all rights reserved."
Abou Zakhem et al.,2017,Hydrological Sciences Journal-Journal Des Sciences Hydrologiques,"using principal component analysis in the investigation of groundwater hydrochemistry of upper jezireh basin, syria","principal component analysis (pca) was applied to hydrochemical and isotopic data of 34 groundwater samples. this allowed the reduction of 20 variables to four significant pcs that explain 81.9% of the total variance; f1 (47.1%) explains the groundwater mineralization, whereas f2 (17%) shows isotopic enrichment and nitrate pollution. based on an iso factor scores map of f1, three water zones were delineated: zone a (f1 <   1), with fresh groundwater from the unconfined aquifer; zone b (1 > f1 >   1), with moderate mineralization from the confined unconfined aquifer boundary; and zone c (f1 > 1), with the most mineralized hot water from the confined aquifer. the iso factor scores map of f2 delineates positive values representing samples from the unconfined aquifer, with freshwater and nitrate contamination associated with stable isotope enrichment, whereas negative values represent samples from the confined aquifer. the results clearly demonstrate the usefulness of pca in groundwater hydrochemistry investigations."
