Author,Year,Journal,Title,Abstract,Sustainable,Groundwater,Policy,Modeling,Surfacewater,Ecosystem,HumanActivities,Uncertainty,Participation,Coast
Chen et al.,2019,Water,"hydrogeochemical characteristics and quality assessment of groundwater in an irrigated region, northwest china","groundwater is one of the most important sources of water for drinking and irrigation in arid and semi arid regions of the world. in this study, 50 groundwater samples were collected and analyzed for various chemical constituents (ph, tds, na+, k+, ca2+, mg2+, so42 , cl , hco3 , no3 , and f ) to identify the hydrogeochemical characteristics, and to evaluate its suitability for drinking and irrigation uses in zhongning area of northwest china. results showed that groundwater was slightly alkaline in nature. fluoride and nitrate concentrations in the groundwater of the study region were much higher than its prescribed limits for drinking purposes. a factor analysis (fa) was implemented to understand the contamination source of groundwater in the region, and the results indicated that rock water interaction, geogenic, and human induced contamination were the major factors influencing groundwater chemistry. an entropy weighted water quality index (ewqi) was employed to evaluate the water quality for drinking purpose. mg2+, ca2+, so42 , hco3 , and tds played the leading roles in influencing the groundwater quality with high weights. forty eight percent of groundwater samples were unfit for drinking purpose in the study area, due to poor quality. elevated concentrations of so42 , cl  and no3  n in groundwater caused poor quality and extremely poor quality water, which may be attributed to human activities. according to the calculation of sodium percentage (na%), sodium adsorption ration (sar), and permeability index (pi), the majority of the groundwater samples were suitable for irrigation. however, it should be noted that 26% of the samples were unfit for irrigation because of the high salinity in the groundwater. this is mainly attributed to the intense evaporation and the intensified irrigation activities in the region. the findings in this study contribute to a better understanding of groundwater sustainability for supporting water management and protection in the future.",1,1,0,0,0,0,1,0,0,1
Zaki et al.,2019,Geosciences Journal,"chemical characteristics and assessment of groundwater quality in halayieb area, southeastern part of the eastern desert, egypt","halayieb area is located at the southeastern corner on the border between egypt and sudan. the area has very important strategic aspects to egypt. groundwater is the only source of fresh water in the area. the hydrogeochemical characterizations of groundwater in the area were carried out, to assess the quality of groundwater for its suitability for drinking and irrigation purposes. geologically the precambrian rocks underlain the mesozoic sandstone and tertiary marine sediments. the groundwater of the area is recorded at the miocene sedimentary succession and the fractured basement aquifers with a maximum water depth of 26.5 m from the ground surface. groundwater quality is mostly saline caused by the sources of geogenic, anthropogenic, and marine origin of the water bearing formations. the resulting groundwater is characterized by na+ > ca2+ > mg2+/cl  > hco3  > so42 : na+ > ca2+ > k+/so42  > cl  > hco3  facies, following the topographical and water flow path conditions. the hydrochemical facies in this area fall in the field of nacl type and the hydrogeochemical signatures indicated active hydrolysis and dissolution process of ca bearing minerals of the basement rocks and some sodium is lost, most probably through reverse ion exchange. enrichment of mn+ in some wells is regarded to the mining activity for manganese ores in the area. groundwater quality is mostly not suitable for drinking purposes. for irrigation, the groundwater is mostly suitable in regard to the residual sodium carbonate and the magnesium hazard. according to the water quality assessment using united states salinity laboratory (usll) diagram, most water samples located in category c3 s2, c3 s3, c3 s4, c4 s2 highlighting high to very high salinity hazard and medium to very high sodium content class. most of the groundwater samples that are located away from the shoreline are suitable for livestock and poultry consumption. high salinity contents in the study area create severe problems for using water supplies and for future exploitation.",1,1,0,0,0,0,0,0,0,1
Noorellimia et al.,2019,Arabian Journal of Geosciences,geoelectrical parameters for the estimation of hydrogeological properties,"excessive groundwater extraction could cause environmental degradation such as surfacewater depletion, saltwater intrusion, and many more. therefore, groundwater should be extracted in sustainable way to avert the harmful consequences. an accurate amount of sustainable groundwater yield can be obtained through the groundwater flow model that has low uncertainty. it is important to incorporate the actual hydrogeological properties into groundwater flow modeling to reduce the uncertainty. the purpose of this study is to estimate hydrogeological properties, namely, hydraulic conductivity (k) and transmissivity (t), by combining the electrical resistivity (er) and induced polarization (ip) methods into an analytical equation. this study used an analytical equation that relates the geoelectrical parameters to the hydrogeological properties. the er and ip methods were applied to improve the accuracy of geoelectrical parameters using the abem lund imaging system. the developed analytical equation was compared with other studies for verification. the results showed that the analytical equation model developed in this study had the lowest error compared to that of other published analytical equation models. therefore, the combination of the er and ip methods with a new proposed constant value for the analytical equation increased the accuracy of hydrogeological properties.",1,1,0,1,1,0,0,1,0,1
Oiro et al.,2019,Journal of African Earth Sciences,"drivers, patterns and velocity of saltwater intrusion in a stressed aquifer of the east african coast: joint analysis of groundwater and geophysical data in southern kenya","fresh groundwater resources in coastal east africa are crucial for the region's socio economic development but are under threat of salinization caused by changes in recharge patterns and increasing abstraction. with the aim of establishing the drivers behind saltwater intrusion and its current spatial extent, we studied the kenyan south coast aquifer, a representative, strategic aquifer under increased pressure. investigations included electrical resistivity tomography (ert) surveys and in situ groundwater measurements (watertable and basic quality) together with the analysis of available long term climatic and borehole monitoring data. over the last 40 years, groundwater electrical conductivity values at the well field increased by about three times and groundwater levels declined by 1 3 m over the last decade. when put in perspective with the long term climate (rainfall, temperature) and abstraction records, these trends in groundwater appear to be primarily driven by increased borehole abstraction (+ 400 m(3)/day per year in average), whereas observed increasing temperature (+ 0.02 degrees c per year) and decreasing rainfall (  0.8 mm per year) could potentially act as a secondary control through reduced recharge. however the low statistical significance obtained for both rainfall and temperature trends over the observation period suggests that no clear conclusion can be made with regards to long term climate impact on groundwater. groundwater quality mapping showed that proximity to the ocean, presence of abstraction well fields and regional geology control groundwater salinity patterns at regional scale. locally, geophysical data showed that, saltwater intrusion spatial patterns are controlled by local aquifer lithology, groundwater abstraction and freshwater recharge in floodplains. comparison with previous (1984) resistivity data showed that the saltwater front has advanced toward the well field by up to 2 km and rose by up to 80 m over the last 30 years, which corresponds to a maximal velocity of about 60 m/y horizontally and 2 m/y vertically. implementation of groundwater management strategies such as sustainable groundwater exploitation, sourced alternative water supply, and managed aquifer recharge are required to mitigate the effects of seawater intrusion along the east african coastal strip.",1,1,0,1,0,0,1,0,0,1
Mamalakis et al.,2019,Hydrological Sciences Journal-Journal Des Sciences Hydrologiques,estimation of seawater retreat timescales in homogeneous and confined coastal aquifers based on dimensional analysis,"reliable estimation of the timescales of seawater retreat (swr) in coastal aquifers has significant implications for sustainable groundwater management in coastal areas. due to the complexity of coastal dynamics, analytical estimates of swr timescales are limited in number, and numerical models are mainly utilized. although numerical models allow for accurate analysis of the coastal systems, they concern particular aquifer cases, thus their results are not generally applicable. here, we perform a dimensional analysis for the depth integrated freshwater/seawater continuity equations and identify the dimensionless parameters that affect swr in confined, homogeneous and flux controlled aquifers. based on numerical simulations, we gain insight into how these parameters affect swr, and produce type curves which can be used as a simple tool for estimating swr timescales in idealized coastal systems, independent of the hydraulic and geometric characteristics of the aquifer. the reliability of our estimates in real world applications is also discussed.",1,1,0,1,0,0,0,0,0,1
Beal et al.,2019,Journal of Hydrology,"isotopic and geochemical assessment of the sensitivity of groundwater resources of guam, mariana islands, to intra  and inter annual variations in hydroclimate","assessing the sensitivity of groundwater systems to hydroclimate variability is critical to sustainable management of the water resources of guam, us territory. we assess spatial and temporal variability of isotopic and geochemical compositions of vadose and phreatic groundwater sampled from cave drip sites and production wells, respectively, to better understand the vulnerability of the freshwater lens on guam to variability in hydroclimate. we independently evaluate the existing conceptual model of the northern guam lens aquifer that is largely based on physical, as opposed to geochemical, observations. sampling was conducted from 2008 to 2015, over which rainfall gradually increased. major ion geochemistry and sr isotope values of groundwater show varying influence from soil, limestone bedrock, and seawater. geochemical modeling that can explain spatial variability in groundwater na+ and mg2+ concentrations and sr/ca and sr 87/sr 86 values indicates that groundwater compositions are dominantly controlled by mixing of freshwater with seawater and water rock interaction. differences between amount weighted annual average precipitation delta o 18 values and groundwater delta o 18 values indicate a recharge bias toward the wet season, consistent with other tropical carbonate island aquifer settings. infra  and inter annual variations in na+ concentrations and delta o 18 values in groundwater reflect sensitivity of recharge to seasonal variations in rainfall amount and changes in annual rainfall amounts. our results indicate the influence of multiple modes of recharge on groundwater compositions and spatial variability in the sensitivity of groundwater to seawater mixing. this sensitivity of the freshwater lens points to the vulnerability of groundwater resources to changes in recharge associated with climate, landuse change, and increases in population.",1,1,0,1,0,0,0,0,0,1
Suryanarayana et al.,2019,Hydrogeology Journal,"groundwater level assessment and prediction using realistic pumping and recharge rates for semi arid coastal regions: a case study of visakhapatnam city, india","water scarcity in urban areas is a common problem in many cities of india, and visakhapatnam, a fast growing industrial city on the east coast of india, is no exception. increasing urban population, industrial expansion and shrinking surfacewater sources have widened the gap between the demand and supply, resulting in groundwater depletion and saline water intrusion along the coastal region. modflow is a widely used numerical groundwater flow model but requires realistic estimation of field inputs in order to contribute effectively to recommendations for proper management actions. the present study focuses on computing the spatial and temporal variations of model inputs such as pumping and recharge rates using the field data collected from various organizations. the developed pmwin modflow model provides insight into the present and future trends in the variation of groundwater levels. observation wells data are used in the model calibration to fix the aquifer parameters through the parameter estimation algorithm pest. models are performed for four projected scenarios with different rates of pumping and recharge values. results indicate the importance of improving the recharge capability of potential areas, to sustain the aquifer's capacity to cope with stresses on groundwater resources. the model results are useful to fix optimum pumping limits in the study area for sustainable groundwater management and will help to prevent disastrous impacts on groundwater potential in the future.",1,1,0,1,1,0,0,0,0,1
Pholkern et al.,2019,Water,"use of alternative hydrogeological conceptual models to assess the potential impact of climate change on groundwater sustainable yield in central huai luang basin, northeast thailand","sustainable management of groundwater resources is essential for sound groundwater development, especially in sensitive salt affected areas. in northeast thailand, the central huai luang basin, underlain by rock salt, is the source of groundwater and soil salinity. the future sustainable groundwater development yield was assessed under the plausible uncertainty of hydrogeological and projected climate scenarios that could impact the groundwater system. the seawat and help3 models were used to simulate groundwater system. the four alternative scenarios of hydrogeological conceptual models were formulated to determine the impact on groundwater system and sustainable groundwater yield. in addition, impacts of projected climate conditions on each alternative model were explored. the results indicate that variable depths and thicknesses of rock salt layers have a higher impact on groundwater salinity distribution and sustainable yield estimations than model boundarycondition. groundwater salinity, shallow watertable areas, and sustainable yield projections vary substantially depending on the possible conceptual model scenarios. it is clear that the variable hydrogeological models affect groundwater sustainable yields.",1,1,0,1,0,0,0,1,0,1
Kurylyk et al.,2019,Wiley Interdisciplinary Reviews-Water,"theory, tools, and multidisciplinary applications for tracing groundwater fluxes from temperature profiles","quantifying groundwater fluxes to and from deep aquifers or shallow sediment is a critical task faced by researchers and practitioners from many environmental science disciplines including hydrology, hydrogeology, ecology, climatology, and oceanography. groundwater discharge to inland and coastal water bodies influences their waterbudgets, thermal regimes, and biogeochemistry. conversely, downward water flow from the land surface or from surfacewater bodies to underlying aquifers represents an important water flux that must be quantified for sustainable groundwater management. because these vertical subsurface flows are slow and typically diffuse, they cannot be measured directly and must rather be estimated using groundwater tracers. heat is a naturally occurring groundwater tracer that is ubiquitous in the subsurface and readily measured. most of the academic literature has focused on groundwater temperature tracing methods capitalizing on the propagation of diel temperature sine waves into sediment beneath surfacewater bodies. such methods rely on temperature time series to infer groundwater fluxes and are typically only viable in the shallow subsurface and in locations with focused groundwater fluxes. alternative methods that utilize temperature depth profiles are applicable across a broader range of hydrologic environments, and point in time measurements can be quickly taken to cover larger spatial scales. applications of these methods have been impeded due in part to the lack of understanding regarding their potential applications and limitations. herein, we highlight relevant theory, thermal data collection techniques, and recent diverse field applications to stimulate further multidisciplinary uptake of thermal groundwater tracing methods that rely on temperature depth profiles. this article is categorized under: water and life > methods science of water > methods water and life > nature of freshwater ecosystems",1,1,0,1,1,1,0,0,0,1
Cruz et al.,2018,Water,groundwater governance in the azores archipelago (portugal): valuing and protecting a strategic resource in small islands,"studies on groundwater governance status at eu national and river basin district levels are rare, hindering lessons learned at each administrative scale to be shared. groundwater is a common pool resource of strategic significance in the azores archipelago (portugal), thus calling for sustainable development. groundwater governance emerged in the last decades as a path to sustainable resources management, and the present paper characterizes the current status of governance in the azores, where management is pursued according to a vertically integrated system. a survey made among 43 specialists showed that despite the instrumental role of groundwater for water supply there is a need to increase awareness on groundwater valuing and protection. the application of benchmark criteria to evaluate the groundwater governance state of art shows that technical capacities are diminishing governance effectiveness due to the lack of quantitative data, and further enforcing of the groundwater legal framework to the specificities of the azores is needed. the empowerment of the government agency being responsible for the groundwater management is also envisaged. the failure to account for the economic dimension of the groundwater governance, the insufficient development of cross sectorial approaches, and the unsuccessful public participation are other weaknesses on the groundwater governance in the azores.",1,1,1,1,0,0,0,0,1,1
